x1,x2,x3,x4,x5
0.32173,0.96282,1.02043,0.82575,0.20723
0.13848,0.47362,0.82443,0.61688,0.07966
0.13367,0.45478,0.64413,0.56086,0.10548
0.21671,0.35457,0.60015,0.63314,0.10817
0.1141,0.17358,0.09015,0.16972,0.03581
0.15434,0.38099,0.12282,0.0,0.12852
0.0075,0.21186,0.19662,0.26159,0.02109
0.19142,0.17974,0.0,0.02057,0.12863
0.01965,0.0145,0.0,0.21243,0.15285
0.24114,0.363,0.0,0.0,0.24785
0.46892,0.02307,0.24412,0.19556,0.21553
0.425,0.21625,0.33673,0.0,0.35573
0.49811,0.12673,0.37888,0.11824,0.21679
0.49921,0.22947,0.47291,0.19466,0.30542
0.60261,0.2551,0.53521,0.52107,0.44666
0.59849,0.43825,0.68053,0.69718,0.40793
0.71634,0.66962,0.47701,0.47761,0.5789
0.66884,0.84595,0.91341,0.7078,0.55584
0.66495,0.8683,1.37386,0.85388,0.44095
0.64588,1.14396,1.47103,1.2057,0.48321
0.85333,1.14014,1.56208,0.94686,0.55263
0.78261,1.24826,1.60087,1.17597,0.6657
0.73187,1.06818,1.4687,1.07806,0.4266
0.5476,0.97879,1.4871,1.20995,0.32965
