x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.35959,0.39904,0.46214,0.2715,0.1946,0.1822,0.31429,0.27359,0.25134,0.18139
0.16791,0.30696,0.45927,0.09876,0.21802,0.09847,0.21012,0.17716,0.1869,0.12316
0.12431,0.24529,0.38325,0.03441,0.10132,0.19102,0.13082,0.11291,0.25819,0.09658
0.27026,0.251,0.32349,0.0,0.12778,0.12372,0.1523,0.06326,0.14264,0.04869
0.27885,0.13591,0.29611,0.07991,0.10712,0.08806,0.10261,0.08203,0.11409,0.0694
0.16358,0.14645,0.21916,0.10383,0.01927,0.07113,0.05246,0.01925,0.03635,0.02717
0.20265,0.04791,0.19806,0.16269,0.02195,0.08213,0.07467,0.14049,0.13402,0.02866
0.25693,0.07374,0.05391,0.08093,0.05037,0.03453,0.0,0.0,0.04546,0.01997
0.0,0.01237,0.0,0.1952,0.00231,0.16358,0.10847,0.0,0.17693,0.02833
0.31738,0.04441,0.02287,0.17727,0.0,0.25217,0.00057,0.02429,0.13585,0.00836
0.33717,0.12655,0.14283,0.19472,0.06255,0.18521,0.02625,0.03116,0.25395,0.02626
0.75783,0.10134,0.09332,0.28021,0.03721,0.33312,0.00882,0.06884,0.36695,0.07102
0.62145,0.13515,0.2014,0.35543,0.04252,0.23225,0.04223,0.04468,0.31665,0.0039
0.8965,0.12362,0.20827,0.26911,0.08994,0.2348,0.11882,0.06482,0.33349,0.04913
0.79544,0.18906,0.37896,0.36423,0.07498,0.34258,0.08511,0.09782,0.36978,0.073
0.60623,0.27387,0.20941,0.38104,0.11522,0.29671,0.15097,0.10728,0.47625,0.07116
1.0353,0.20999,0.45033,0.45719,0.13558,0.50268,0.17511,0.13891,0.54396,0.09464
1.03428,0.27139,0.47144,0.42505,0.18119,0.46328,0.2224,0.18846,0.5181,0.10924
0.92753,0.4388,0.74145,0.44739,0.25691,0.39685,0.29106,0.22472,0.54563,0.10909
0.92215,0.3529,0.74054,0.49721,0.28885,0.48152,0.37308,0.23669,0.52522,0.18381
0.97909,0.5539,0.77058,0.58831,0.36657,0.44312,0.38763,0.28225,0.58029,0.13626
1.19486,0.44958,0.95044,0.52297,0.29987,0.49003,0.40604,0.3003,0.6472,0.15799
0.75256,0.43234,0.87824,0.3714,0.32249,0.43243,0.32999,0.30272,0.41507,0.19518
0.79422,0.47246,0.60946,0.27654,0.24649,0.27272,0.38158,0.28771,0.43435,0.1795
